station,coords
Авиамоторная,"[55.751933, 37.717444]"
Автозаводская,"[55.706634, 37.657008]"
Академическая,"[55.687147, 37.5723]"
Александровский сад,"[55.752255, 37.608775]"
Алексеевская,"[55.807794, 37.638699]"
Алтуфьево,"[55.899034, 37.586473]"
Аннино,"[55.583477, 37.596999]"
Арбатская,"[55.752312, 37.60349]"
Аэропорт,"[55.800441, 37.530477]"
Бабушкинская,"[55.870641, 37.664341]"
Багратионовская,"[55.743544, 37.497042]"
Баррикадная,"[55.760793, 37.581242]"
Бауманская,"[55.772405, 37.67904]"
Беговая,"[55.773505, 37.545518]"
Белорусская,"[55.777439, 37.582107]"
Беляево,"[55.642357, 37.526115]"
Бибирево,"[55.883868, 37.603011]"
Библиотека им. Ленина,"[55.752123, 37.610388]"
Новоясеневская,"[55.601947, 37.553017]"
Боровицкая,"[55.750399, 37.60934]"
Ботанический сад,"[55.844597, 37.637811]"
Братиславская,"[55.658817, 37.748415]"
Бульвар Адмирала Ушакова,"[55.545207, 37.542329]"
Бульвар Дмитрия Донского,"[55.568201, 37.576856]"
Бунинская аллея,"[55.537977, 37.515899]"
Варшавская,"[55.653406, 37.619711]"
ВДНХ,"[55.819626, 37.640751]"
Владыкино,"[55.848236, 37.590451]"
Водный стадион,"[55.838978, 37.487515]"
Войковская,"[55.818923, 37.497791]"
Волгоградский проспект,"[55.725546, 37.685197]"
Волжская,"[55.690446, 37.754314]"
Воробьёвы горы,"[55.709169, 37.557293]"
Выхино,"[55.715983, 37.816788]"
Выставочная,"[55.750243, 37.542641]"
Динамо,"[55.789704, 37.558212]"
Дмитровская,"[55.808056, 37.581734]"
Добрынинская,"[55.728994, 37.622533]"
Домодедовская,"[55.610131, 37.717111]"
Дубровка,"[55.71807, 37.676259]"
Измайловская,"[55.787713, 37.779896]"
Калужская,"[55.656682, 37.540075]"
Кантемировская,"[55.636107, 37.656218]"
Каховская,"[55.65278, 37.597955]"
Каширская,"[55.655745, 37.649683]"
Киевская,"[55.743117, 37.564132]"
Китай-город,"[55.756498, 37.631326]"
Кожуховская,"[55.706156, 37.68544]"
Коломенская,"[55.677423, 37.663719]"
Комсомольская,"[55.774072, 37.654565]"
Коньково,"[55.631857, 37.519156]"
Красногвардейская,"[55.614075, 37.742697]"
Красносельская,"[55.780014, 37.666097]"
Красные ворота,"[55.768307, 37.6478]"
Крестьянская застава,"[55.732278, 37.665325]"
Кропоткинская,"[55.745297, 37.604217]"
Крылатское,"[55.756842, 37.408139]"
Кузнецкий мост,"[55.761498, 37.624423]"
Кузьминки,"[55.705493, 37.763295]"
Кунцевская,"[55.730634, 37.445123]"
Курская,"[55.758564, 37.659039]"
Кутузовская,"[55.740544, 37.5341]"
Ленинский проспект,"[55.70678, 37.58499]"
Лубянка,"[55.759889, 37.625336]"
Люблино,"[55.676596, 37.761639]"
Марксистская,"[55.740746, 37.65604]"
Марьино,"[55.649158, 37.743844]"
Маяковская,"[55.769808, 37.596192]"
Медведково,"[55.888103, 37.661562]"
Международная,"[55.748324, 37.533282]"
Менделеевская,"[55.781999, 37.599141]"
Молодёжная,"[55.741375, 37.415627]"
Нагатинская,"[55.682099, 37.620917]"
Нагорная,"[55.672962, 37.610397]"
Нахимовский проспект,"[55.662379, 37.605274]"
Новогиреево,"[55.752237, 37.814587]"
Новокузнецкая,"[55.742391, 37.62928]"
Новослободская,"[55.779606, 37.601252]"
Новые Черёмушки,"[55.670077, 37.554493]"
Октябрьская,"[55.729264, 37.611049]"
Октябрьское поле,"[55.793581, 37.493317]"
Орехово,"[55.61269, 37.695214]"
Отрадное,"[55.864273, 37.605066]"
Охотный ряд,"[55.757228, 37.615078]"
Павелецкая,"[55.729741, 37.638693]"
Парк Культуры,"[55.736163, 37.595027]"
Парк Победы,"[55.735679, 37.516865]"
Партизанская,"[55.788401, 37.74882]"
Первомайская,"[55.794376, 37.799364]"
Перово,"[55.75098, 37.78422]"
Петровско-Разумовская,"[55.836565, 37.575512]"
Печатники,"[55.692921, 37.728338]"
Пионерская,"[55.736027, 37.466728]"
Планерная,"[55.859676, 37.436808]"
Площадь Ильича,"[55.747115, 37.680726]"
Площадь Революции,"[55.756741, 37.62236]"
Полежаевская,"[55.777201, 37.517895]"
Полянка,"[55.736795, 37.618594]"
Пражская,"[55.610962, 37.602386]"
Преображенская площадь,"[55.796322, 37.713582]"
Пролетарская,"[55.731546, 37.666917]"
Проспект Вернадского,"[55.676549, 37.504584]"
Проспект Мира,"[55.779584, 37.633646]"
Профсоюзная,"[55.677671, 37.562595]"
Пушкинская,"[55.765607, 37.604356]"
Речной вокзал,"[55.854152, 37.476728]"
Рижская,"[55.792494, 37.636114]"
Римская,"[55.747027, 37.679996]"
Рязанский проспект,"[55.716139, 37.792694]"
Савёловская,"[55.794054, 37.587163]"
Свиблово,"[55.855558, 37.653379]"
Севастопольская,"[55.651451, 37.59809]"
Семёновская,"[55.783096, 37.719289]"
Серпуховская,"[55.726548, 37.624792]"
Смоленская,"[55.747713, 37.583802]"
Сокол,"[55.805564, 37.515245]"
Сокольники,"[55.789282, 37.679895]"
Спортивная,"[55.722388, 37.562041]"
Сретенский бульвар,"[55.766106, 37.635688]"
Студенческая,"[55.738761, 37.54842]"
Сухаревская,"[55.772315, 37.63285]"
Сходненская,"[55.84926, 37.44076]"
Таганская,"[55.742396, 37.653334]"
Тверская,"[55.765343, 37.603918]"
Театральная,"[55.758808, 37.61768]"
Текстильщики,"[55.709211, 37.732117]"
Тёплый Стан,"[55.61873, 37.505912]"
Тимирязевская,"[55.81866, 37.574498]"
Третьяковская,"[55.74073, 37.625624]"
Трубная,"[55.76771, 37.621926]"
Тульская,"[55.70961, 37.622569]"
Тургеневская,"[55.765371, 37.636732]"
Тушинская,"[55.825479, 37.437024]"
Улица 1905 года,"[55.763944, 37.562271]"
Улица Академика Янгеля,"[55.596753, 37.601498]"
Улица Горчакова,"[55.542281, 37.532063]"
Бульвар Рокоссовского,"[55.814916, 37.732227]"
Улица Скобелевская,"[55.548103, 37.552721]"
Улица Старокачаловская,"[55.569194, 37.576074]"
Университет,"[55.69329, 37.534511]"
Филёвский парк,"[55.739665, 37.483902]"
Фили,"[55.746763, 37.514035]"
Фрунзенская,"[55.727462, 37.58022]"
Царицыно,"[55.620982, 37.669612]"
Цветной бульвар,"[55.771653, 37.620466]"
Черкизовская,"[55.802787, 37.744863]"
Чертановская,"[55.640538, 37.606065]"
Чеховская,"[55.765747, 37.608493]"
Чистые пруды,"[55.76499, 37.638293]"
Чкаловская,"[55.755951, 37.659293]"
Шаболовская,"[55.718828, 37.607892]"
Шоссе Энтузиастов,"[55.75809, 37.751703]"
Щёлковская,"[55.809962, 37.798261]"
Щукинская,"[55.8094, 37.463241]"
Электрозаводская,"[55.782057, 37.7053]"
Юго-Западная,"[55.663146, 37.482852]"
Южная,"[55.622436, 37.609047]"
Ясенево,"[55.606182, 37.5334]"
Краснопресненская,"[55.760378, 37.577114]"
Строгино,"[55.803831, 37.402405]"
Славянский бульвар,"[55.729542, 37.470973]"
Мякинино,"[55.823342, 37.385214]"
Волоколамская,"[55.835154, 37.382453]"
Митино,"[55.846098, 37.36122]"
Марьина Роща,"[55.793723, 37.61618]"
Шипиловская,"[55.621667, 37.743611]"
Зябликово,"[55.611944, 37.745278]"
Борисово,"[55.6325, 37.743333]"
Новокосино,"[55.745113, 37.864052]"
Пятницкое шоссе,"[55.853634, 37.353108]"
Алма-Атинская,"[55.63349, 37.765678]"
Жулебино,"[55.684722, 37.855833]"
Лермонтовский проспект,"[55.702036, 37.851044]"
Деловой центр,"[55.749408, 37.537624]"
Лесопарковая,"[55.581656, 37.577816]"
Битцевский парк,"[55.600066, 37.556058]"
Спартак,"[55.8182, 37.4352]"
Улица Сергея Эйзенштейна,"[55.829305, 37.644997]"
Выставочный центр,"[55.824086, 37.638494]"
Улица Академика Королёва,"[55.821821, 37.627167]"
Телецентр,"[55.821795, 37.608975]"
Улица Милашенкова,"[55.821876, 37.591206]"
Тропарёво,"[55.6459, 37.4725]"
Котельники,"[55.6743, 37.8582]"
Технопарк,"[55.695, 37.664167]"
Румянцево,"[55.633, 37.4419]"
Саларьево,"[55.6227, 37.424]"
Фонвизинская,"[55.822778, 37.588056]"
Бутырская,"[55.813333, 37.602778]"
Хорошёво,"[55.777222, 37.507222]"
Зорге,"[55.787778, 37.504444]"
Панфиловская,"[55.799167, 37.498889]"
Стрешнево,"[55.814204, 37.476699]"
Балтийская,"[55.825833, 37.496111]"
Коптево,"[55.839637, 37.520037]"
Лихоборы,"[55.855143, 37.561589]"
Окружная,"[55.844748, 37.575531]"
Ростокино,"[55.839444, 37.667778]"
Белокаменная,"[55.83, 37.700556]"
Локомотив,"[55.803219, 37.745742]"
Измайлово,"[55.788611, 37.742778]"
Соколиная гора,"[55.77, 37.745278]"
Андроновка,"[55.741111, 37.734444]"
Нижегородская,"[55.731835, 37.729404]"
Новохохловская,"[55.723889, 37.716111]"
Угрешская,"[55.718333, 37.697778]"
ЗИЛ,"[55.698333, 37.648333]"
Верхние котлы,"[55.69, 37.618889]"
Крымская,"[55.690038, 37.605]"
Площадь Гагарина,"[55.706944, 37.585833]"
Лужники,"[55.720278, 37.563056]"
Шелепиха,"[55.757116, 37.524067]"
Минская,"[55.723947, 37.497872]"
Ломоносовский проспект,"[55.70706, 37.516063]"
Раменки,"[55.697691, 37.498725]"
Ховрино,"[55.878273, 37.480768]"
Петровский Парк,"[55.791957, 37.557322]"
Хорошёвская,"[55.776862, 37.520797]"
ЦСКА,"[55.786602, 37.533301]"
Верхние Лихоборы,"[55.855143, 37.561589]"
Селигерская,"[55.866556, 37.547117]"
Мичуринский проспект,"[55.6888, 37.485]"
Озёрная,"[55.6698, 37.4495]"
Говорово,"[55.6588, 37.4174]"
Солнцево,"[55.649, 37.3911]"
Боровское шоссе,"[55.647, 37.3701]"
Новопеределкино,"[55.6385, 37.3544]"
Рассказовка,"[55.6324, 37.3328]"
Беломорская,"[55.865369, 37.475692]"
Косино,"[55.703423, 37.851305]"
Улица Дмитриевского,"[55.710311, 37.879045]"
Лухмановская,"[55.708516, 37.900569]"
Некрасовка,"[55.702967, 37.92803]"
Юго-Восточная,"[55.705351, 37.817995]"
Окская,"[55.718623, 37.781272]"
Стахановская,"[55.727207, 37.752257]"
Филатов Луг,"[55.601177, 37.407995]"
Прокшино,"[55.586456, 37.43322]"
Ольховая,"[55.56898, 37.459047]"
Коммунарка,"[55.560071, 37.46865]"
Лефортово,"[55.764693, 37.706757]"
Шереметьевская,"[55.983771, 37.498833]"
Рижская,"[55.792494, 37.636114]"
Сокольники,"[55.789282, 37.679895]"
Электрозаводская,"[55.782057, 37.7053]"
Кленовый бульвар,"[55.674692, 37.681568]"
Нагатинский Затон,"[55.684427, 37.704592]"
Зюзино,"[55.655717, 37.57369]"
Воронцовская,"[55.658845, 37.539446]"
Новаторская,"[55.669823, 37.52218]"
Аминьевская,"[55.697189, 37.464931]"
Давыдково,"[55.71517, 37.45177]"
Кунцевская,"[55.730634, 37.445123]"
Мнёвники,"[55.761148, 37.47139]"
Терехово ,"[55.748108, 37.459738]"
Карамышевская,"[55.76906795, 37.478152187199626]"
Яхромская,"[55.879904, 37.545429]"
Лианозово,"[55.898614, 37.544854]"
Тестовская,"[55.754147, 37.531684]"
Рабочий посёлок,"[55.726918, 37.417877]"
Сетунь,"[55.724211, 37.398473]"
Немчиновка,"[55.715991, 37.37536]"
Сколково,"[55.700091, 37.342526]"
Баковка,"[55.682843, 37.315442]"
Одинцово,"[55.672473, 37.282779]"
Лобня,"[56.013306, 37.484945]"
Хлебниково,"[55.970897, 37.504591]"
Водники,"[55.952601, 37.512407]"
Долгопрудная,"[55.938143, 37.520986]"
Новодачная,"[55.924396, 37.527938]"
Марк,"[55.740746, 37.65604]"
Бескудниково,"[55.882182, 37.567689]"
Дегунино,"[55.865576, 37.573232]"
Нахабино,"[55.841655, 37.184854]"
Аникеевка,"[55.832303, 37.219161]"
Опалиха,"[55.824809, 37.242265]"
Красногорская,"[55.814335, 37.303944]"
Павшино,"[55.815175, 37.341439]"
Пенягино,"[55.822539, 37.361049]"
Трикотажная,"[55.833137, 37.398967]"
Стрешнево,"[55.814204, 37.476699]"
Красный Балтиец,"[55.815478, 37.526618]"
Гражданская,"[55.805483, 37.553316]"
Москва-Товарная,"[55.745656, 37.688306]"
Калитники,"[55.734146, 37.701969]"
Люблино,"[55.676596, 37.761639]"
Депо,"[55.674118, 37.728056]"
Перерва,"[55.661415, 37.716998]"
Москворечье,"[55.640396, 37.689087]"
Покровское,"[55.602968, 37.632071]"
Красный Строитель,"[55.589798, 37.615093]"
Битца,"[55.571174, 37.611464]"
Щербинка,"[55.510155, 37.562191]"
Силикатная,"[55.470459, 37.555454]"
Подольск,"[55.431494, 37.565452]"
Бутово,"[55.541698, 37.57068]"
Остафьево,"[55.486015, 37.555157]"
Курьяново,"[55.649855, 37.701439]"
Народное Ополчение,"[55.775697, 37.485071]"
Площадь трёх вокзалов,"[55.776667, 37.651111]"
Авиамоторная,"[55.751933, 37.717444]"
Деловой центр,"[55.749408, 37.537624]"
Каширская,"[55.655745, 37.649683]"
Лефортово,"[55.764693, 37.706757]"
Мичуринский проспект,"[55.6888, 37.485]"
Нижегородская,"[55.731835, 37.729404]"
Печатники,"[55.692921, 37.728338]"
Проспект Вернадского,"[55.676549, 37.504584]"
Савёловская,"[55.794054, 37.587163]"
Текстильщики,"[55.709211, 37.732117]"
Шелепиха,"[55.757116, 37.524067]"
Марьина Роща,"[55.793723, 37.61618]"
Зеленоград — Крюково,"[55.9802209, 37.1739643]"
Фирсановская,"[55.960278, 37.251111]"
Сходня,"[55.949722, 37.298611]"
Подрезково,"[55.941667, 37.334722]"
Новоподрезково,"[55.936389, 37.351667]"
Молжаниново,"[55.924167, 37.380833]"
Химки,"[55.894444, 37.450833]"
Левобережная,"[55.886944, 37.468611]"
Ховрино,"[55.878273, 37.480768]"
Грачёвская,"[55.869444, 37.509167]"
Моссельмаш,"[55.862222, 37.526389]"
Лихоборы,"[55.855143, 37.561589]"
Петровско-Разумовская,"[55.836565, 37.575512]"
Останкино,"[55.817222, 37.603611]"
Электрозаводская,"[55.782057, 37.7053]"
Сортировочная,"[55.763611, 37.720833]"
Андроновка,"[55.741111, 37.734444]"
Перово,"[55.75098, 37.78422]"
Плющево,"[55.730556, 37.774167]"
Вешняки,"[55.721944, 37.799167]"
Выхино,"[55.715983, 37.816788]"
Рязанский проспект,"[55.716139, 37.792694]"
Ухтомская,"[55.698611, 37.864167]"
Люберцы,"[55.681667, 37.896944]"
Панки,"[55.668889, 37.9225]"
Томилино,"[55.655, 37.954722]"
Красково,"[55.649722, 37.9825]"
Котельники,"[55.6743, 37.8582]"
Отдых,"[55.601111, 38.136944]"
Кратово,"[55.591667, 38.16]"
Есенинская,"[55.581944, 38.184167]"
Фабричная,"[55.572859, 38.206822]"
Раменское,"[55.565351, 38.225435]"
Ипподром,"[55.560278, 38.238889]"
Апрелевка,"[55.550278, 37.0675]"
Победа,"[55.566111, 37.093056]"
Крёкшино,"[55.577778, 37.109722]"
Санино,"[55.583889, 37.138333]"
Кокошкино,"[55.599722, 37.171389]"
Толстопальцево,"[55.607778, 37.186389]"
Лесной Городок,"[55.630278, 37.219167]"
Внуково,"[55.607087, 37.287702]"
Мичуринец,"[55.646111, 37.315]"
Переделкино,"[55.656111, 37.353889]"
Солнечная,"[55.656944, 37.383611]"
Говорово,"[55.6588, 37.4174]"
Очаково,"[55.683611, 37.451389]"
Аминьевская,"[55.697189, 37.464931]"
Матвеевская,"[55.7054355, 37.4813954]"
Минская,"[55.723947, 37.497872]"
Кутузовская,"[55.740544, 37.5341]"
Беговая,"[55.773505, 37.545518]"
Белорусская,"[55.777439, 37.582107]"
Рижская,"[55.792494, 37.636114]"
Курская,"[55.758564, 37.659039]"
Чухлинка,"[55.733508, 37.76354]"
Кусково,"[55.739722, 37.795278]"
Новогиреево,"[55.752237, 37.814587]"
Реутов,"[55.751389, 37.855833]"
Никольское,"[55.759722, 37.897778]"
Салтыковская,"[55.757778, 37.923056]"
Кучино,"[55.752222, 37.954722]"
Ольгино,"[55.751667, 37.978611]"
Железнодорожная,"[55.7525, 38.008889]"
Физтех,"[55.921536, 37.546498]"
Аэропорт Внуково,"[55.607087, 37.287702]"
Пыхтино,"[55.625, 37.298056]"
Марьина Роща,"[55.793723, 37.61618]"
